Symbol
AAPL
AMZN
AVGO
AXP
CAH
COST
CRM
FSLR
FTNT
GOOGL
HDB
JPM
LII
LLY
LULU
LVMUY
MA
MCD
MCK
META
MSFT
NFLX
NOW
NVDA
NVO
OKTA
PANW
PG
PYPL
QCOM
SBUX
SHOP
SPOT
TSLA
TSM
V
VZ
WMT
